ID;group;type;name;description;use with
1565;CAUTION;byte;probeHeat;Caution panel;LED, LEDMatrix
1566;CAUTION;bool;seat_Arm;Caution panel;LED, LEDMatrix
1567;CAUTION;bool;buc;Caution panel;LED, LEDMatrix
1568;CAUTION;bool;fuel_Oil_Hot ;Caution panel;LED, LEDMatrix
1569;CAUTION;bool;anti_Skid;Caution panel;LED, LEDMatrix
1570;CAUTION;bool;tfr_Engaged;"MISC panel; upper half of split face TFR lamp";LED, LEDMatrix
1571;GEAR;bool;gearHandle ;Lamp in gear handle lights on fault or gear in motion;LED, LEDMatrix
1572;CAUTION;bool;engine;Lower half of right eyebrow ENG FIRE/ENGINE lamp;LED, LEDMatrix
1580;LIGHTS;uint;lightBits3;Cockpit Indicator Lights, one bit per bulb. See enum;
1581;ELECTRICS;bool;flcsPmg ;Elec Panel;LED, LEDMatrix
1582;ELECTRICS;bool;mainGen ;Elec Panel;LED, LEDMatrix
1583;ELECTRICS;bool;stbyGen ;Elec Panel;LED, LEDMatrix
1584;ELECTRICS;bool;epuGen ;Elec Panel;LED, LEDMatrix
1585;ELECTRICS;bool;epuPmg ;Elec Panel;LED, LEDMatrix
1586;ELECTRICS;bool;toFlcs ;Elec Panel;LED, LEDMatrix
1587;ELECTRICS;bool;flcsRly ;Elec Panel;LED, LEDMatrix
1588;ELECTRICS;bool;batFail ;Elec Panel;LED, LEDMatrix
1589;ENGINE;bool;hydrazine ;EPU Panel ;LED, LEDMatrix
1590;ENGINE;bool;air ;EPU Panel ;LED, LEDMatrix
1591;CAUTION;bool;elec_Fault ;Caution panel;LED, LEDMatrix
1592;CAUTION;bool;lef_Fault ;Caution panel;LED, LEDMatrix
1593;GEAR;bool;onGround ;Weight-on-wheels;LED, LEDMatrix
1594;TEST/FLCS;bool;flcsBitRun ;FLT CONTROL panel RUN light (used to be Multi-engine fire light);LED, LEDMatrix
1595;TEST/FLCS;bool;flcsBitFail ;"FLT CONTROL panel FAIL light (used to be Lock light Cue; non-F-16)";LED, LEDMatrix
1596;CAUTION;bool;dbuWarn ;"Right eyebrow DBU ON cell; was Shoot light cue; non-F16";LED, LEDMatrix
1597;GEAR;bool;noseGearDown ;"Landing gear panel; on means down and locked";LED, LEDMatrix
1598;GEAR;bool;leftGearDown ;"Landing gear panel; on means down and locked";LED, LEDMatrix
1599;GEAR;bool;rightGearDown ;"Landing gear panel; on means down and locked";LED, LEDMatrix
1600;GEAR;bool;parkBrakeOn ;"Parking brake engaged; NOTE: not a lamp bit";LED, LEDMatrix
1601;ELECTRICS;bool;power_Off ;Set if there is no electrical power.  NB: not a lamp bit;LED, LEDMatrix
1602;CAUTION;bool;cadc ;Caution panel;LED, LEDMatrix
1603;AIRCRAFT;bool;sSpeedBrake ;True if speed brake is in anything other than stowed position;LED, LEDMatrix
1604;TEST/FLCS;bool;sysTest ;Threat Warning Prime - additional bits;LED, LEDMatrix
1605;CAUTION;bool;mcAnnounced ;"Master Caution WILL come up in 3sec; turns off when MC light is on";LED, LEDMatrix
1606;AIRCRAFT;bool;mlgWow ;MLGWOW is only for AFM , it means WOW switches on MLG are triggered ;LED, LEDMatrix
1607;AIRCRAFT;bool;nlgWow ;NLGWOW is only for AFM , it means WOW switches on MLG are triggered ;LED, LEDMatrix
1608;CAUTION;bool;atf_Not_Engaged;Autopilot status TFR;LED, LEDMatrix
1609;CAUTION;bool;Inlet_Icing;Caution Panel ;LED, LEDMatrix
1610;CAUTION;bool;Nuclear;Not implemented in BMS;LED, LEDMatrix
1611;CAUTION;bool;EEC;Not implemented in BMS;LED, LEDMatrix
1612;CAUTION;bool;---;Unused spaces  of the Caution Panel. Not implemented in BMS;LED, LEDMatrix
1619;CAUTION;bool;AllCPLightsOn;true if all caution panel lights are on;LED, LEDMatrix
1620;CMDS/RWR;byte;EcmOperStates;see enum EcmOperStates for details;
1630;CMDS/RWR;byte[];JammingStates;see enum JammingStates for details;
1640;CMDS/RWR;int[];ecmBits;see EcmBits enum for details - Note: these are currently not combinable bits, but mutually exclusive states!;
1641;CMDS/RWR;bool;ECM1_Standby;;LED, LEDMatrix
1642;CMDS/RWR;bool;ECM1_Active;;LED, LEDMatrix
1643;CMDS/RWR;bool;ECM1_Transmit;;LED, LEDMatrix
1644;CMDS/RWR;bool;ECM1_Fail;;LED, LEDMatrix
1645;CMDS/RWR;bool;ECM2_Standby;;LED, LEDMatrix
1646;CMDS/RWR;bool;ECM2_Active;;LED, LEDMatrix
1647;CMDS/RWR;bool;ECM2_Transmit;;LED, LEDMatrix
1648;CMDS/RWR;bool;ECM2_Fail;;LED, LEDMatrix
1649;CMDS/RWR;bool;ECM3_Standby;;LED, LEDMatrix
1650;CMDS/RWR;bool;ECM3_Active;;LED, LEDMatrix
1651;CMDS/RWR;bool;ECM3_Transmit;;LED, LEDMatrix
1652;CMDS/RWR;bool;ECM3_Fail;;LED, LEDMatrix
1653;CMDS/RWR;bool;ECM4_Standby;;LED, LEDMatrix
1654;CMDS/RWR;bool;ECM4_Active;;LED, LEDMatrix
1655;CMDS/RWR;bool;ECM4_Transmit;;LED, LEDMatrix
1656;CMDS/RWR;bool;ECM4_Fail;;LED, LEDMatrix
1657;CMDS/RWR;bool;ECM5_Standby;;LED, LEDMatrix
1658;CMDS/RWR;bool;ECM5_Active;;LED, LEDMatrix
1659;CMDS/RWR;bool;ECM5_Transmit;;LED, LEDMatrix
1660;CMDS/RWR;bool;ECM5_Fail;;LED, LEDMatrix
1661;CMDS/RWR;bool;ECM6_7_8_Standby;Not implemented in BMS;LED, LEDMatrix
1662;CMDS/RWR;bool;ECM6_7_8_Active;Not implemented in BMS;LED, LEDMatrix
1663;CMDS/RWR;bool;ECM6_7_8_Transmit;Not implemented in BMS;LED, LEDMatrix
1664;CMDS/RWR;bool;ECM6_7_8_Fail;Not implemented in BMS;LED, LEDMatrix
1670;AIRCRAFT;float;DoNotUse;magDeviationSystem moved to 1390;
1680;AIRCRAFT;float;DoNotUse;magDeviationReal moved to 1400;
1690;LIGHTS;byte;Flood Console;current floodconsole brightness setting, see FloodConsole enum for details;Lighting
1700;AIRCRAFT;byte;aaMissileFired;How many AA missiles fired.;Max7219, TM1637, LCD, OLED
1710;AIRCRAFT;byte;agMissileFired;How many maverick/rockets fired;Max7219, TM1637, LCD, OLED
1720;AIRCRAFT;byte;bombDropped;How many bombs dropped;Max7219, TM1637, LCD, OLED
1730;AIRCRAFT;byte;flareDropped;How many flares dropped;Max7219, TM1637, LCD, OLED
1740;AIRCRAFT;byte;chaffDropped;How many chaff dropped;Max7219, TM1637, LCD, OLED
1750;AIRCRAFT;byte;bulletsFired;How many bullets shot;Max7219, TM1637, LCD, OLED
1760;AIRCRAFT;int;collisionCounter;Collisions;
1770;AIRCRAFT;bool;isFiringGun;True if gun is firing;LED, LEDMatrix
1780;AIRCRAFT;bool;isEndFlight;True if player is ending the flight from 3D;LED, LEDMatrix
1790;AIRCRAFT;bool;isEjecting;True if player has ejected;LED, LEDMatrix
1800;AIRCRAFT;bool;in3D;True if player is in3D;LED, LEDMatrix
1810;AIRCRAFT;bool;isPaused;True if Sim is paused;LED, LEDMatrix
1820;AIRCRAFT;bool;isFrozen;True if Sim is frozen;LED, LEDMatrix
1830;AIRCRAFT;bool;isOverG;True if G limits are being exceeded;LED, LEDMatrix
1840;AIRCRAFT;bool;isOnGround;True if player a/c is on the ground;LED, LEDMatrix
1850;AIRCRAFT;bool;isExitGame;True if player exits the game (2D);
1860;AIRCRAFT;float ;gForce;Current G force;Max7219, TM1637, LCD, OLED, StepperX27, StepperVID
1870;AIRCRAFT;float ;eyex;Where the eye is in relationship to the plane;
1880;AIRCRAFT;float ;eyey;Where the eye is in relationship to the plane;
1890;AIRCRAFT;float ;eyez;Where the eye is in relationship to the plane;
1900;AIRCRAFT;int ;lastdamage;1 to 8 depending on quadrant. ;
1910;AIRCRAFT;float ;damageforce;How big the hit was.;
1920;AIRCRAFT;int;whendamage;???;
1930;RADIO;int;radio2_preset;Radio 2 channel preset (if present).;Max7219, TM1637, LCD, OLED
1940;RADIO;int;radio2_frequency;Radio 2 channel frequency (if present).;Max7219, TM1637, LCD, OLED
1950;IFF;int;iffTransponderActiveCode1;mode 1;Max7219, TM1637, LCD, OLED
1960;IFF;int;iffTransponderActiveCode2;mode 2;Max7219, TM1637, LCD, OLED
1970;IFF;int;iffTransponderActiveCode3A;mode 3A;Max7219, TM1637, LCD, OLED
1980;IFF;int;iffTransponderActiveCodeC;mode C;Max7219, TM1637, LCD, OLED
1990;IFF;int;iffTransponderActiveCode4;"mode 4; assumes the correct codeword";Max7219, TM1637, LCD, OLED
2000;RADIO;string[];bupUhfFreq;Manuel UHF Freqs for BUP Radio;
2001;RADIO;string;bupUhfFreqCh1;Manuel UHF Freqs for BUP Radio Channel1;BUPRadio
2002;RADIO;string;bupUhfFreqCh2;Manuel UHF Freqs for BUP Radio Channel2;BUPRadio
2003;RADIO;string;bupUhfFreqCh3;Manuel UHF Freqs for BUP Radio Channel3;BUPRadio
2004;RADIO;string;bupUhfFreqCh4;Manuel UHF Freqs for BUP Radio Channel4;BUPRadio
2005;RADIO;string;bupUhfFreqCh5;Manuel UHF Freqs for BUP Radio Channel5;BUPRadio
2006;RADIO;string;bupUhfFreqCh6;Manuel UHF Freqs for BUP Radio Channel6;BUPRadio
2007;RADIO;string;bupUhfFreqCh7;Manuel UHF Freqs for BUP Radio Channel7;BUPRadio
2008;RADIO;string;bupUhfFreqCh8;Manuel UHF Freqs for BUP Radio Channel8;BUPRadio
2009;RADIO;string;bupUhfFreqCh9;Manuel UHF Freqs for BUP Radio Channel9;BUPRadio
2010;RADIO;string;bupUhfFreqCh10;Manuel UHF Freqs for BUP Radio Channel10;BUPRadio
2011;RADIO;string;bupUhfFreqCh11;Manuel UHF Freqs for BUP Radio Channel11;BUPRadio
2012;RADIO;string;bupUhfFreqCh12;Manuel UHF Freqs for BUP Radio Channel12;BUPRadio
2013;RADIO;string;bupUhfFreqCh13;Manuel UHF Freqs for BUP Radio Channel13;BUPRadio
2014;RADIO;string;bupUhfFreqCh14;Manuel UHF Freqs for BUP Radio Channel14;BUPRadio
2015;RADIO;string;bupUhfFreqCh15;Manuel UHF Freqs for BUP Radio Channel15;BUPRadio
2016;RADIO;string;bupUhfFreqCh16;Manuel UHF Freqs for BUP Radio Channel16;BUPRadio
2017;RADIO;string;bupUhfFreqCh17;Manuel UHF Freqs for BUP Radio Channel17;BUPRadio
2018;RADIO;string;bupUhfFreqCh18;Manuel UHF Freqs for BUP Radio Channel18;BUPRadio
2019;RADIO;string;bupUhfFreqCh19;Manuel UHF Freqs for BUP Radio Channel19;BUPRadio
2020;RADIO;string;bupUhfFreqCh20;Manuel UHF Freqs for BUP Radio Channel20;BUPRadio
3000;UNKNOWN;int;desired_RTT_FPS;The configured RTT export FPS value, g_nRTTExport_FPS;LCD
3010;HSI/ADI/TACAN;int;tacan_ils_frequency;Tacan ILS (110.30 = 11030). Valid interval [108.10, 111.95];Max7219, TM1637, LCD, OLED
3020;HSI/ADI/TACAN;float;sideSlipdeg;ADI side Slip ;LCD
5000;DCSCommon;string;DCSBIOSVer;Version of DCSBIOS;LCD
5010;DCS_GFS;int;SpeedbrakeLeft;Position of left speedbrake;LCD, OLED, StepperX27, StepperVID, Servo, ServoPWM
5020;DCS_GFS;int;SpeedbrakeRight;Position of right speedbrake;LCD, OLED, StepperX27, StepperVID, Servo, ServoPWM
5030;DCS_GFS;bool;Flaps_Warn;Flaps overspeed warning light;LED, LEDMatrix
5031;DCS_GFS;bool;Flaps_Half;Flaps Half indicator light;LED, LEDMatrix
5032;DCS_GFS;bool;Flaps_Full;Flaps Full indicator light;LED, LEDMatrix
5043;DCS_Indexer;bool;Lock;Lock indexer light;LED, LEDMatrix
5044;DCS_Indexer;bool;Shoot;Shoot indexer light;LED, LEDMatrix
5060;DCS_Indexer;bool;Shoot_Strobe;Shoot indexer light is blinking;LED, LEDMatrix
5061;DCS_Indexer;bool;AA_Mode;F18 AA Mode indicator light;LED, LEDMatrix
5062;DCS_Indexer;bool;AG_Mode;F18 AG Mode indicator light;LED, LEDMatrix
5063;DCS_Caution;bool;DISCH;F18 Fire extiguisher discharge indicator light;LED, LEDMatrix
5064;DCS_Caution;bool;MC_Ready;F18 Fire extiguisher ready indicator light;LED, LEDMatrix
5065;DCS_Caution;bool;Eng_Fire_Right;Right engine fire warning light (Left is on ID 1506);LED, LEDMatrix
5066;DCS_Caution;bool;APU_Fire;APU fire warning light;LED, LEDMatrix
5067;DCS_Caution;bool;Spin;Spin warning light;LED, LEDMatrix
;DCS_Caution;bool;APU;APU warning light;LED, LEDMatrix
;DCS_Caution;bool;Gen_L;Generator left failure warning light;LED, LEDMatrix
;DCS_Caution;bool;Gen_R;Generator right failure warning light;LED, LEDMatrix
